TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0006413	"translational initiation"	-10.281498311132726	5.294236893407935	0.4846280878472618	0.8736448256824196	0	null
GO:0006417	"regulation of translation"	-8.943095148663527	5.750705826677294	1.3863693522964495	0.757216654644087	0	null
GO:0006397	"mRNA processing"	-8.60906489289662	5.689537048003264	1.2042316958165515	0.8370213629459884	0.36368111	null
GO:0006412	"translation"	-8.511449283499555	6.255454388144548	4.432288697403288	0.8530890812698342	0.47049854	null
GO:0001732	"formation of cytoplasmic translation initiation complex"	-7.7544873321858505	4.533911802994045	0.08415365714466026	0.7829893167920176	0.4799637	null
GO:0048026	"positive regulation of mRNA splicing, via spliceosome"	-5.11690664142431	4.150265086978703	0.034786301153129084	0.7439361772640398	0.27845783	null
GO:0007399	"nervous system development"	-4.391473966422806	5.6826909870976445	1.1853974230914583	0.8475585955888268	0	null
GO:0031047	"regulatory ncRNA-mediated gene silencing"	-4.169411331314856	4.913220264207092	0.2015528084997015	0.7708970587380664	0.32511361	null
GO:0045070	"positive regulation of viral genome replication"	-3.1337126609158052	3.0178677189635055	0.0025622684143782196	0.8472921635557898	0.32171275	null
GO:0034063	"stress granule assembly"	-3.1007268126823964	4.044304519175914	0.02725456114544671	0.8877170309282927	0.01104562	null
GO:0000082	"G1/S transition of mitotic cell cycle"	-1.7501901218365745	4.261786086565754	0.0449713796341061	0.9756551581858134	0.01146994	null
GO:0006886	"intracellular protein transport"	-1.6832235804272595	5.793354475071429	1.529423185383541	0.898382405959849	0.01572345	null
GO:1903076	"regulation of protein localization to plasma membrane"	-1.6253681411603498	3.916137983107175	0.02028893231481236	0.8956994895801994	0.16398092	null
GO:0007017	"microtubule-based process"	-1.5934208710584699	5.74006015726112	1.352798959497502	0.9848358573329806	0.01762612	null
GO:0008298	"intracellular mRNA localization"	-1.5934208710584699	3.7133225049870275	0.012717810660030991	0.9331850973687474	0.47239418	null
GO:0016579	"protein deubiquitination"	-1.5934208710584699	5.122877468323503	0.32662399698021527	0.9081966181871673	0.24437831	null
GO:0062029	"positive regulation of stress granule assembly"	-1.5934208710584699	2.230448921378274	0.00041596864748311157	0.8292847417479127	0.31264877	null
GO:0010608	"post-transcriptional regulation of gene expression"	-1.572444873427766	5.821740114671324	1.6327261684300864	0.8146138295854012	0.4061443	null
GO:0048511	"rhythmic process"	-1.4753244613254868	4.754172441415161	0.13974577473077598	1	0	null
GO:0150052	"regulation of postsynapse assembly"	-1.4753244613254868	3.0557604646877348	0.0027960969440284896	0.8268412827487552	0.45058493	null
GO:0030307	"positive regulation of cell growth"	-1.257246448074986	4.216614485501277	0.040528637570750974	0.7883640262359828	0.45540936	null
GO:0035235	"ionotropic glutamate receptor signaling pathway"	-1.1747724242054713	4.110589710299249	0.03174899162061927	0.8559439861085941	0.16993446	null
GO:0032012	"regulation of ARF protein signal transduction"	-0.9280800451111035	4.3747483460101035	0.05833160341243941	0.880254715751424	0.17875032	null
GO:0006338	"chromatin remodeling"	-0.8844012560352283	5.785161068138012	1.5008394936485032	0.8814872525267755	0.29572933	null
GO:0000226	"microtubule cytoskeleton organization"	-0.6752761204415292	5.554980718698552	0.8833918782540008	0.8595223077946023	0.41094818	null
GO:0050808	"synapse organization"	-0.6462468437227143	4.850094594386701	0.17428594058953636	0.8874758058125565	0.34773382	null
GO:0016192	"vesicle-mediated transport"	-0.6417932593038802	6.022337625916402	2.591260690701909	0.9348834883076318	0.35090271	null
GO:0007264	"small GTPase-mediated signal transduction"	-0.6215303973190719	5.2043262235564915	0.3940010724607046	0.841666047469568	0.3251894	null
GO:0009059	"macromolecule biosynthetic process"	-0.6100834476815262	6.820060570164805	16.264263355707197	0.8827562519422698	0.31092962	null
GO:0006974	"DNA damage response"	-0.5326701169483323	6.1122197965247755	3.1870828591331772	0.9536219141145461	0.37989725	null
GO:0072318	"clathrin coat disassembly"	-0.5326701169483323	3.8755821043278855	0.018479837901202376	0.8531171605745368	0.21834566	null
GO:0001662	"behavioral fear response"	-0.5049223037103093	3.1000257301078626	0.00309638200315831	0.8970577934135049	0.43320188	null
GO:0016183	"synaptic vesicle coating"	-0.4844688862789362	1.0791812460476249	0.00002707488238055756	0.885853009008218	0.33634058	null
GO:0075525	"viral translational termination-reinitiation"	-0.4844688862789362	2.311753861055754	0.0005021160005121583	1	0	null
GO:0045471	"response to ethanol"	-0.4422966760179163	3.302330928684399	0.004935012652092536	0.9820770073059983	0	null
GO:0051726	"regulation of cell cycle"	-0.4422966760179163	5.5993895729336165	0.9785034787039558	0.8645312117418907	0.23535142	null
GO:0099566	"regulation of postsynaptic cytosolic calcium ion concentration"	-0.4422966760179163	3.463594402187	0.007155153007298256	1	0	null
GO:0120183	"positive regulation of focal adhesion disassembly"	-0.4422966760179163	2.2041199826559246	0.000391355118046241	0.8314352578902072	0.44309979	null
GO:0035654	"clathrin-coated vesicle cargo loading, AP-3-mediated"	-0.3834007775930605	1.1760912590556813	0.00003445894121161871	0.9604611359791815	0.30313434	null
GO:0008284	"positive regulation of cell population proliferation"	-0.36349142851187005	4.967150002647506	0.22820187682100118	0.8072820243417446	0.45802216	null
GO:0006816	"calcium ion transport"	-0.36084230942773726	5.250861391984317	0.4385638675061586	0.9547955662617049	0.28603684	null
GO:0043547	"positive regulation of GTPase activity"	-0.36084230942773726	5.01881280168335	0.25702924249746395	0.8912666440580359	0.1792025	null
GO:0050885	"neuromuscular process controlling balance"	-0.32733492763090855	3.5233562066547925	0.00821107342014	0.9125737879092454	0.46372229	null
